Compound_ID,Canonical_SMILES,InChIKey,logP_median,logP_uncertainty,n_measurements,logP_min,logP_max,Tier,TPSA,MW,Coumarin_Type,Cluster_ID,Murcko_scaffold_ID,is_OOD,external_role,Murcko_scaffold_SMILES_v2,Murcko_scaffold_ID_v2
CMR_GOLD_042,O=C1OC2=CC=CC=C2C(/C=N\NC3=CC=CC=C3)=C1,VFVWDBBGIOSODM-BOPFTXTBSA-N,3.63,,1,3.63,3.63,STRICT,54.6,264.28,hydrazone,,,False,NONE,O=c1cc(/C=N\Nc2ccccc2)c2ccccc2o1,ea574e96301b616c
CMR_GOLD_043,O=C1OC2=CC=CC=C2C(C3=NOC=N3)=C1,ZLYVVFCBKRJYBX-UHFFFAOYSA-N,1.95,,1,1.95,1.95,STRICT,69.13,214.18,oxadiazole,,,False,NONE,O=c1cc(-c2ncon2)c2ccccc2o1,786dec8f111878e4
CMR_GOLD_044,O=C1OC2=CC=CC=C2C(C3=NOC(C)=N3)=C1,GXHCXGRJKRQZKU-UHFFFAOYSA-N,2.12,,1,2.12,2.12,STRICT,69.13,228.21,oxadiazole,,,False,NONE,O=c1cc(-c2ncon2)c2ccccc2o1,786dec8f111878e4
CMR_GOLD_045,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=CC=C4)=N3)=C1,XWTFHNIIDKCWQK-UHFFFAOYSA-N,3.22,,1,3.22,3.22,STRICT,69.13,290.28,oxadiazole,,,False,NONE,O=c1cc(-c2noc(-c3ccccc3)n2)c2ccccc2o1,7771d557b189eaae
CMR_GOLD_046,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=C(OC)C=C4)=N3)=C1,SUIYTRKZYMTCRT-UHFFFAOYSA-N,2.98,,1,2.98,2.98,STRICT,78.36,320.3,oxadiazole,,,False,NONE,O=c1cc(-c2noc(-c3ccccc3)n2)c2ccccc2o1,7771d557b189eaae
CMR_GOLD_047,O=C1OC2=CC=CC=C2C(C3=NOCN3)=C1,DLCBDIHOETUFKG-UHFFFAOYSA-N,1.98,,1,1.98,1.98,STRICT,63.83,216.2,"oxadiazoline (4,5-dihydro-1,2,4-oxadiazole)",,,False,NONE,O=c1cc(C2=NOCN2)c2ccccc2o1,c45bc99991424882
CMR_GOLD_048,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3)=C1,MDCMLTKIADJJJC-UHFFFAOYSA-N,1.93,,1,1.93,1.93,STRICT,63.83,230.22,oxadiazoline,,,False,NONE,O=c1cc(C2=NOCN2)c2ccccc2o1,c45bc99991424882
CMR_GOLD_049,O=C1OC2=CC=CC=C2C(C3=NOCN3C4=CC=CC=C4)=C1,FGRSRPNDDVHHLC-UHFFFAOYSA-N,2.45,,1,2.45,2.45,STRICT,55.04,292.29,oxadiazoline,,,False,NONE,O=c1cc(C2=NOCN2c2ccccc2)c2ccccc2o1,c63f5663978b976b
CMR_GOLD_050,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3C4=CC=CC=C4)=C1,MQJVDXNTCIJWOQ-UHFFFAOYSA-N,2.7,,1,2.7,2.7,STRICT,55.04,306.32,oxadiazoline,,,False,NONE,O=c1cc(C2=NOCN2c2ccccc2)c2ccccc2o1,c63f5663978b976b
CMR_GOLD_051,O=C1OC2=CC=CC=C2C(C3=NOC(N3C4=CC=CC=C4)=S)=C1,HRMCFLZHMCQCRI-UHFFFAOYSA-N,3.03,,1,3.03,3.03,STRICT,61.17,322.34,thioxo-oxadiazoline,,,False,NONE,O=c1cc(-c2noc(=S)n2-c2ccccc2)c2ccccc2o1,cb15831496ec3d32
CMR_GOLD_052,O=C1OC2=CC=CC=C2C(C3=NOS(N3C4=CC=CC=C4)=O)=C1,JBHPQSUBCQLZGC-HSZRJFAPSA-N,2.16,,1,2.16,2.16,STRICT,72.11,326.33,oxathiadiazole sulfoxide,,,False,NONE,O=c1cc(C2=NOS(=O)N2c2ccccc2)c2ccccc2o1,d69c0c6481587197
CMR_GOLD_053,O=C1OC2=CC=CC=C2C(C3=NC(C4=CC=C(OC)C=C4)=NO3)=C1,HOLKFSHYUZDUSZ-UHFFFAOYSA-N,3.07,,1,3.07,3.07,STRICT,78.36,320.3,oxadiazole,,,False,NONE,O=c1cc(-c2nc(-c3ccccc3)no2)c2ccccc2o1,4f3ceb0741fbc578
CMR_GOLD_054,O=C1OC2=CC=CC=C2C(C3ON=C(C4=CC=C(OC)C=C4)O3)=C1,ZAJFCDGFUOWAHR-UHFFFAOYSA-N,3.04,,1,3.04,3.04,STRICT,70.26,323.3,dioxazole,,,False,NONE,O=c1cc(C2ON=C(c3ccccc3)O2)c2ccccc2o1,e498c295e46663b6
CMR_GOLD_055,O=C1OC2=C(C=CC=C2)C=C1,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,1.39,,1,1.39,1.39,STRICT,30.21,146.14,Parent core (unsubstituted),,,False,NONE,O=c1ccc2ccccc2o1,c51a245eee35e68e
CMR_GOLD_057,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=O)=CC4=C(C=C(N(C)C)C=C4)O1,VRZAVZPFRIQDJQ-XYOKQWHBSA-N,1.365,,1,1.365,1.365,STRICT,53.76,444.55,7-amino-substituted D-π-A coumarin,,,False,NONE,O=C(/C=C/c1cc2ccccc2oc1=O)c1ccc(-c2ccccc2)s1,33bccbe1c90da1e8
CMR_GOLD_058,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(CC)CC)C=C3)S2)=O)=CC4=C(C=C(N(CC)CC)C=C4)O1,JVLKCCCEPNDMCU-FOWTUZBSSA-N,0.9664,,1,0.9664,0.9664,STRICT,53.76,500.66,7-amino-substituted D-π-A coumarin,,,False,NONE,O=C(/C=C/c1cc2ccccc2oc1=O)c1ccc(-c2ccccc2)s1,33bccbe1c90da1e8
CMR_GOLD_059,O=C1C=CC2=C(C=C3C(C=CO3)=C2)O1,ZCCUUQDIBDJBTK-UHFFFAOYSA-N,1.67,,1,1.67,1.67,STRICT,43.35,186.17,Furocoumarin,,,False,NONE,O=c1ccc2cc3ccoc3cc2o1,815b62df64d332b8
CMR_GOLD_060,O=C1C=CC2=C(C(OC)=C3C(C=CO3)=C2)O1,QXKHYNVANLEOEG-UHFFFAOYSA-N,1.93,,1,1.93,1.93,STRICT,52.58,216.19,Furocoumarin,,,False,NONE,O=c1ccc2cc3ccoc3cc2o1,815b62df64d332b8
CMR_GOLD_061,O=C1C=CC2=C(C=C3C(C=CO3)=C2OC)O1,BGEBZHIAGXMEMV-UHFFFAOYSA-N,2.0,,1,2.0,2.0,STRICT,52.58,216.19,Furocoumarin,,,False,NONE,O=c1ccc2cc3ccoc3cc2o1,815b62df64d332b8
CMR_GOLD_062,O=C1C=C(C)C2=C(C(C)=C3C(C=C(C)O3)=C2)O1,FMHHVULEAZTJMA-UHFFFAOYSA-N,3.14,,1,3.14,3.14,STRICT,43.35,228.25,Furocoumarin,,,False,NONE,O=c1ccc2cc3ccoc3cc2o1,815b62df64d332b8
CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1,VZMUQCFIJHWZHC-WMUBDEIWSA-N,3.22,,1,3.22,3.22,STRICT,199.96,675.73,conjugated_coumarin,,,True,OOD,O=c1oc2ccccc2cc1CSc1ncnc2c1nc(SCc1cc3ccccc3oc1=O)n2C1CCCO1,6ec79c965b13e86a
CMR_GOLD_003,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(OC)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(OC)=C7)O1,UGYALFFGGMHYFG-WMUBDEIWSA-N,3.01,,1,3.01,3.01,STRICT,218.42,707.73,conjugated_coumarin,,,True,OOD,O=c1oc2ccccc2cc1CSc1ncnc2c1nc(SCc1cc3ccccc3oc1=O)n2C1CCCO1,6ec79c965b13e86a
CMR_GOLD_004,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C(OC)=CC=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C(OC)=CC=C7)O1,LNBLITRCJPTJKD-QKRUGJAMSA-N,2.97,,1,2.97,2.97,STRICT,218.42,707.73,conjugated_coumarin,,,True,OOD,O=c1oc2ccccc2cc1CSc1ncnc2c1nc(SCc1cc3ccccc3oc1=O)n2C1CCCO1,6ec79c965b13e86a
CMR_GOLD_005,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC4=CC=CC=C4)N3C5[C@@H](O)[C@@H](O)[C@@H](CO)O5)=CC6=C(C=CC(OC)=C6)O1,ZFXIILZQAFJSCN-JNRFDMSCSA-N,2.78,,1,2.78,2.78,STRICT,178.98,595.65,conjugated_coumarin,,,True,OOD,O=c1oc2ccccc2cc1CSc1ncnc2c1nc(Sc1ccccc1)n2C1CCCO1,a1c47f608022e950
CMR_GOLD_006,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC#CC#CC#CC#CC#C)N3C4[C@@H](O)[C@@H](O)[C@@H](CO)O4)=CC5=C(C=CC(OC)=C5)O1.[HH].[HH].[HH],WMOPSFKGMATTGW-KRMITEJXSA-N,3.77,,1,3.77,3.77,STRICT,178.98,645.71,conjugated_coumarin,,,True,OOD,O=c1oc2ccccc2cc1CSc1ncnc2c1ncn2C1CCCO1,eee16b10030ed9d3
CMR_GOLD_032,OC(COC1=CC(OCC(CN2C=NC=N2)O)=CC3=C1C(C)=CC(O3)=O)CN4C=NC=N4,VNVNPLYKVHUFAV-UHFFFAOYSA-N,0.65,,1,0.65,0.65,STRICT,150.55,442.43,conjugated_coumarin,,,True,OOD,O=c1ccc2c(OCCCn3cncn3)cc(OCCCn3cncn3)cc2o1,69f1b4253ae4789d
CMR_GOLD_033,O=C1OC2=C(C(OCC(O)CN3N=NC4=C3C=CC=C4)=CC(OCC(O)CN5N=NC6=C5C=CC=C6)=C2)C(C)=C1,WZGNVZAAHGCFIE-UHFFFAOYSA-N,0.48,,1,0.48,0.48,STRICT,150.55,542.55,conjugated_coumarin,,,True,OOD,O=c1ccc2c(OCCCn3nnc4ccccc43)cc(OCCCn3nnc4ccccc43)cc2o1,30fb7afd5695a233
