feature_set,model_name,ccc_RandomKFold,ccc_ScaffoldGroupKFold,mae_RandomKFold,mae_ScaffoldGroupKFold,r2_RandomKFold,r2_ScaffoldGroupKFold,rmse_RandomKFold,rmse_ScaffoldGroupKFold
ECFP,KRR_Tanimoto,0.8133322846506714,0.6371571974317815,0.45649421356739733,0.6466165725593046,0.7017985672797991,0.48564792034427406,0.6462707409754638,0.8487697275273056
ECFP,XGB,0.8046300961424727,0.6976312128896709,0.44996310992379124,0.6223654649582463,0.6545246421639661,0.5036001367343774,0.6956137677814622,0.8338260480792702
Hybrid,Ridge,0.8070670769852047,0.6900248467209711,0.4527692825588846,0.5476837812945724,0.6859183273550831,0.5547559672625442,0.6632556053007793,0.7896937216981851
Hybrid,XGB,0.8204409099440634,0.6363270173371041,0.4503055403661037,0.6602509653927624,0.7011414823677022,0.4635109759824083,0.6469823758518234,0.8668422126634117
PhysChem,Ridge,0.4649085153702712,0.2173965200599491,0.7932901483117188,1.0425521426876696,0.2370795909081851,-0.22588553544679035,1.033711262232145,1.3103417894882434
PhysChem,XGB,0.483034805431096,0.28960590488754495,0.8075343651147748,0.8731708754470382,0.15139951412181896,-0.11550023695166023,1.090212781859048,1.249955249637056
