feature,mean_abs_shap,mean_shap
ECFP_0368,0.27960559725761414,0.025331351906061172
ECFP_0389,0.18220701813697815,-0.00649937242269516
TPSA,0.16401857137680054,-0.16401857137680054
ECFP_0762,0.1618332713842392,-0.01249294076114893
AromaticRings,0.1505984365940094,0.1505984365940094
FractionCSP3,0.11137326061725616,0.11137326061725616
ECFP_0464,0.09749051183462143,-0.022946672514081
ECFP_0807,0.09616004675626755,0.009995097294449806
ECFP_1722,0.07731709629297256,-0.009295850992202759
ECFP_1602,0.0656309574842453,-0.009605125524103642
ECFP_0983,0.06099935248494148,0.009586078114807606
ECFP_1152,0.058466587215662,-0.002966504078358412
ECFP_0227,0.05346309393644333,0.002209358848631382
HBA,0.03907692804932594,0.03907692804932594
ECFP_0003,0.037668585777282715,-0.016707303002476692
ECFP_1573,0.03625970333814621,0.004330584779381752
ECFP_0147,0.03469603881239891,-0.009104051627218723
ECFP_1357,0.03265107795596123,0.003132989164441824
ECFP_0694,0.03242696076631546,-0.006604852620512247
ECFP_0841,0.031080476939678192,-0.0014687222428619862
ECFP_1208,0.03039567358791828,0.004945545457303524
MW,0.02980578877031803,0.02980578877031803
MR,0.029041241854429245,0.028904369100928307
ECFP_1452,0.02568269707262516,0.005099257919937372
ECFP_0935,0.0217752568423748,0.0010272057261317968
ECFP_0725,0.019518570974469185,-8.620700100436807e-06
ECFP_1143,0.01872597634792328,-0.002413277281448245
ECFP_0852,0.01831476204097271,-0.005064327735453844
ECFP_0080,0.017569525167346,-0.006186812650412321
ECFP_1002,0.01676248386502266,0.007720864377915859
ECFP_0118,0.015748552978038788,-0.00028398429276421666
ECFP_0016,0.015603827312588692,0.0029659965075552464
ECFP_0926,0.015033653005957603,-0.0032884858082979918
ECFP_0352,0.014919624663889408,0.0067118084989488125
ECFP_1057,0.01452144980430603,0.0023070964962244034
ECFP_0044,0.014208586886525154,0.0050307707861065865
RotB,0.012974950484931469,-0.00510786846280098
ECFP_1455,0.012831032276153564,-0.0015151241095736623
ECFP_0171,0.01246653776615858,0.00028598675271496177
ECFP_0695,0.012301107868552208,-0.0003421740548219532
HBD,0.012280228547751904,0.00032450738945044577
ECFP_1917,0.011521262116730213,0.002583705587312579
ECFP_1160,0.008826962672173977,-0.0020352709107100964
ECFP_1027,0.008446232415735722,0.001422857167199254
HeavyAtomCount,0.007995563559234142,-0.007995563559234142
ECFP_0014,0.007978617213666439,-0.0023826195392757654
ECFP_1783,0.007798006758093834,-0.0035238019190728664
ECFP_1088,0.007576532196253538,-0.0007015590672381222
ECFP_0187,0.007380311843007803,-0.0015861059073358774
ECFP_0875,0.006222746800631285,-0.0008788700797595084
ECFP_0378,0.006013794336467981,-0.0010929960990324616
ECFP_1164,0.005675884895026684,-0.0030411051120609045
ECFP_1970,0.004774857312440872,0.0017591406358405948
ECFP_1128,0.004715803079307079,-0.0003941805334761739
ECFP_0103,0.004306661430746317,0.0017214353429153562
ECFP_1607,0.0039012108463793993,-0.0005748544936068356
ECFP_1542,0.00386999174952507,0.0007826130604371428
ECFP_0058,0.003834545612335205,0.0016335264081135392
ECFP_0271,0.003782748244702816,-0.0006334056961350143
ECFP_0203,0.003657777328044176,0.0011360816424712539
ECFP_0486,0.003363662166520953,0.0004134377231821418
ECFP_0675,0.003306648461148143,0.0011869962327182293
ECFP_0202,0.0031275206711143255,-7.783979526720941e-05
ECFP_1536,0.0031227280851453543,-0.0003053662658203393
ECFP_1631,0.0030439768452197313,0.0006258817738853395
ECFP_0932,0.0030398715753108263,0.001021488569676876
ECFP_1087,0.0028918390162289143,-0.0003530380199663341
ECFP_1086,0.0027903432492166758,0.0002219206653535366
ECFP_1518,0.0026734061539173126,-0.0006883527967147529
ECFP_1912,0.002620844403281808,0.0007050861022435129
ECFP_1385,0.002361370250582695,-0.0006309195305220783
RingCount,0.002346221823245287,-0.002346221823245287
ECFP_1855,0.0022682941053062677,-0.0009477214189246297
ECFP_1810,0.002243536291643977,-0.0015531518729403615
ECFP_0305,0.0020705547649413347,-0.00053721311269328
ECFP_0249,0.0019942366052418947,0.0006632329896092415
ECFP_1349,0.0019373111426830292,-0.00043777679093182087
ECFP_1238,0.0018927404889836907,-0.00031613543978892267
ECFP_0576,0.0018788955640047789,0.0005962798022665083
ECFP_0235,0.0018068937351927161,-0.00028270710026845336
ECFP_0116,0.0017822609515860677,-0.0010402729967609048
ECFP_0736,0.001772684627212584,-0.00033326412085443735
ECFP_0586,0.0017332498682662845,9.019975550472736e-05
ECFP_1063,0.0017035529017448425,-0.000448865961516276
ECFP_0248,0.0016728682676330209,-0.0007070790743455291
ECFP_1670,0.001544324797578156,-0.0001701568253338337
ECFP_0843,0.0015380855184048414,0.0006118617602623999
ECFP_1626,0.0014855832559987903,-0.0003993397986050695
ECFP_0971,0.0014478090452030301,6.596883395104669e-06
ECFP_0961,0.0013993275351822376,-0.0002897826489061117
ECFP_0001,0.001218132907524705,-0.0004622750566340983
ECFP_0192,0.0011055440409108996,0.0005579032003879547
ECFP_0724,0.001095550716854632,-0.00018020537390839309
ECFP_1391,0.0010484446538612247,-0.0005176670383661985
ECFP_2024,0.0010463424259796739,-0.0002339986094739288
ECFP_0197,0.0009779509855434299,0.0002736347378231585
ECFP_0488,0.0009575384901836514,-2.50277626037132e-05
ECFP_0343,0.0009559678146615624,-1.0412262781755999e-05
ECFP_0322,0.0009389880578964949,-0.0005319686024449766
ECFP_0561,0.0009065303020179272,-0.00018186727538704872
ECFP_0718,0.0008985333261080086,-0.0005235120188444853
ECFP_0255,0.000842845591250807,0.0003394965606275946
ECFP_1665,0.000752307940274477,-0.00014318758621811867
ECFP_1199,0.0007353277178481221,-0.00012124778004363179
ECFP_0896,0.0007275503012351692,-0.00041445271926932037
ECFP_0294,0.0006510581588372588,-0.00029349568649195135
ECFP_0289,0.0006411097128875554,-6.676670454908162e-05
ECFP_0406,0.0005381489754654467,-0.00017791413119994104
ECFP_0745,0.0005180281004868448,-0.00018961513706017286
ECFP_0997,0.0004583648988045752,0.00027746311388909817
ECFP_1773,0.00035742385080084205,-0.0001562211400596425
ECFP_0341,0.00031211102032102644,-0.0001785186177585274
ECFP_0133,0.0003026154881808907,-0.0001800168538466096
ECFP_1047,0.00027187870000489056,0.00021838888642378151
ECFP_1683,0.00026588779292069376,-6.034741454641335e-05
ECFP_0597,0.00026084043201990426,7.864104554755613e-05
ECFP_1097,0.00025896821171045303,6.0969814512645826e-05
